Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",3 June 2017,21:07,F9 FT,"Success
"
36,KSC,BulgariaSat-1,"3,669 kg",GTO,"<td><a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>
</td>","Success
",23 June 2017,19:10,F9 FTB1029.2,"Success
"
37,VAFB,Iridium NEXT,"9,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",25 June 2017,20:25,F9 FT,"Success
"
38,KSC,Intelsat 35e,"6,761 kg",GTO,"<td><a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>
</td>","Success
",5 July 2017,23:38,F9 FT,"Success
"
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>","Success
",14 August 2017,16:31,F9 B4,"Success
"
40,VAFB,Formosat-5,475 kg,SSO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",24 August 2017,18:51,F9 FT,"Success
"
41,KSC,Boeing X-37B,"4,990 kg",LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a></li>
<li><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a></li></ul>
</div>
</td>","Success
",7 September 2017,14:00,F9 B4,"Success
"
42,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>
</td>","Success
",9 October 2017,12:37,F9 B4,"Success
"
43,KSC,SES-11,"5,200 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",11 October 2017,22:53:00,F9 FTB1031.2,"Success
"
44,KSC,Koreasat 5A,"3,500 kg",GTO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,30 October 2017,19:34,F9 B4,Success
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<td><a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a> <sup class=""reference"" id=""cite_ref-249""><a href=""#cite_note-249"">[f]</a></sup><sup class=""reference"" id=""cite_ref-zuma_246-2""><a href=""#cite_note-zuma-246"">[238]</a></sup>
</td>",Success,15 December 2017,15:36,F9 FTB1035.2,Success
46,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,23 December 2017,01:27,F9 FTB1036.2,Success
47,CCAFS,Zuma,C,LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a></li>
<li><a href=""/wiki/ExactEarth"" title=""ExactEarth"">exactEarth</a></li>
<li><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a></li></ul>
</div>
</td>",Success,8 January 2018,01:00,F9 B4,Success
48,CCAFS,GovSat-1,"4,230 kg",GTO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a><sup class=""reference"" id=""cite_ref-spx20150914_286-1""><a href=""#cite_note-spx20150914-286"">[277]</a></sup></li>
<li><a href=""/wiki/NovaWurks"" title=""NovaWurks"">NovaWurks</a></li></ul>
</div>
</td>",Success,31 January 2018,21:25,F9 FTB1032.2,Success
49,VAFB,Paz,"2,150 kg",SSO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,22 February 2018,14:17,F9 FTB1038.2,Success
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,6 March 2018,05:33,F9 B4,Success
51,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Launch_Services_Program"" title=""Launch Services Program"">LSP</a>)
</td>",Success,30 March 2018,14:14,F9 B4B1041.2,Success
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<td><a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a> / <a href=""/wiki/Bangladesh_Telecommunication_Regulatory_Commission"" title=""Bangladesh Telecommunication Regulatory Commission"">BTRC</a>
</td>",Success,2 April 2018,20:30,F9 B4B1039.2,Success
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a></li>
<li><a href=""/wiki/GFZ_German_Research_Centre_for_Geosciences"" title=""GFZ German Research Centre for Geosciences"">GFZ</a> • <a href=""/wiki/NASA"" title=""NASA"">NASA</a></li></ul>
</div>
</td>",Success,18 April 2018,22:51,F9 B4,Success
54,KSC,Bangabandhu-1,"3,600 kg",GTO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,11 May 2018,20:14,F9 B5B1046.1,Success
55,VAFB,Iridium NEXT,"6,460 kg",Polar,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,22 May 2018,19:47,F9 B4B1043.2,Success
56,CCAFS,SES-12,"5,384 kg",GTO,"<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,4 June 2018,04:45,F9 B4B1040.2,Success
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,29 June 2018,09:42,F9 B4B1045.2,Success
58,CCAFS,Telstar 19V,"7,075 kg",GTO,"<td><a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>
</td>",Success,22 July 2018,05:50,F9 B5,Success
59,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,25 July 2018,11:39,F9 B5B1048,Success
60,CCAFS,Merah Putih,"5,800 kg",GTO,"<td><a href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>
</td>",Success,7 August 2018,05:18,F9 B5B1046.2,Success
61,CCAFS,Telstar 18V,"7,060 kg",GTO,"<td><a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>
</td>",Success,10 September 2018,04:45,F9 B5,Success
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,"<td><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>
</td>",Success,8 October 2018,02:22,F9 B5B1048.2,Success
63,KSC,Es'hail 2,"5,300 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",15 November 2018,20:46,F9 B5B1047.2,"Success
"
64,VAFB,SSO-A,"~4,000 kg",SSO,"<td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>",Success,3 December 2018,18:34:05,F9 B5B1046.3,Success
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",5 December 2018,18:16,F9 B5,"Success
"
66,CCAFS,GPS III,"4,400 kg",MEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a></li>
<li><a href=""/wiki/SpaceIL"" title=""SpaceIL"">SpaceIL</a> / <a href=""/wiki/Israel_Aerospace_Industries"" title=""Israel Aerospace Industries"">IAI</a></li>
<li><a href=""/wiki/Air_Force_Research_Laboratory"" title=""Air Force Research Laboratory"">Air Force Research</a></li></ul>
</div>
</td>","Success
",23 December 2018,13:51,F9 B5,"Success
"
67,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><span class=""nowrap""> <a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Commercial_Crew_Development"" title=""Commercial Crew Development"">CCD</a>) </span>
</td>","Success
",11 January 2019,15:31,F9 B5B1049.2,"Success
"
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",22 February 2019,01:45,F9 B5B1048.3,"Success
"
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",2 March 2019,07:49,F9 B5[268],"Success
"
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,"<td><a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a> (CSA)
</td>","Success
",4 May 2019,06:48,F9 B5,"Success
"
71,CCAFS,Starlink,"13,620 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",24 May 2019,02:30,F9 B5B1049.3,"Success
"
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<td><a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>
</td>","Success
",12 June 2019,14:17,F9 B5B1051.2,"Success
"
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<td><a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>
</td>","Success
",25 July 2019,22:01,F9 B5B1056.2,"Success
"
74,CCAFS,AMOS-17,"6,500 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",6 August 2019,23:23,F9 B5B1047.3,"Success
"
75,CCAFS,Starlink,"15,600 kg",LEO,"<td><a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a><br/><a href=""/wiki/Kacific_Broadband_Satellites"" title=""Kacific Broadband Satellites"">Kacific 1</a>
</td>","Success
",11 November 2019,14:56,F9 B5,"Success
"
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",5 December 2019,17:29,F9 B5,"Success
"
77,CCAFS,JCSat-18,"6,956 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/ISS_Crew_Transportation_Services"" title=""ISS Crew Transportation Services"">CTS</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-0""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",17 December 2019,00:10,F9 B5B1056.3,"Success
"
78,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",7 January 2020,02:19:21,F9 B5,"Success
"
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",19 January 2020,15:30,F9 B5,"Success
"
80,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",29 January 2020,14:07,F9 B5,"Success
"
81,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",17 February 2020,15:05,F9 B5,"Success
"
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",7 March 2020,04:50,F9 B5,"Success
"
83,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Commercial_Crew_Development"" title=""Commercial Crew Development"">CCDev</a>)
</td>","Success
",18 March 2020,12:16,F9 B5,"Success
"
84,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",22 April 2020,19:30,F9 B5,"Success
"
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",30 May 2020,19:22,F9 B5,"Success
"
86,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a><sup class=""reference"" id=""cite_ref-clark-20200630_542-1""><a href=""#cite_note-clark-20200630-542"">[530]</a></sup>
</td>","Success
",4 June 2020,01:25,F9 B5,"Success
"
87,CCAFS,Starlink,"15,410 kg",LEO,"<td><a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>
</td>","Success
",13 June 2020,09:21,F9 B5,"Success
"
88,CCAFS,GPS III,"4,311 kg",MEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a> (BlackSky)
</td>","Success
",30 June 2020,20:10:46,F9 B5,"Success
"
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",20 July 2020,21:30,F9 B5B1058.2,"Success
"
90,KSC,Starlink,"14,932 kg",LEO,"<td><a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a><br/><a class=""new"" href=""/w/index.php?title=PlanetIQ&amp;action=edit&amp;redlink=1"" title=""PlanetIQ (page does not exist)"">PlanetIQ</a><br/><a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak</a>
</td>","Success
",7 August 2020,05:12,F9 B5,"Success
"
91,CCAFS,Starlink,"~15,440 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",18 August 2020,14:31,F9 B5B1049.6,"Success
"
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",30 August 2020,23:18,F9 B5,"Success
"
93,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",3 September 2020,12:46:14,F9 B5B1060.2,"Success
"
94,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",6 October 2020,11:29:34,F9 B5B1058.3,"Success
"
95,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>
</td>","Success
",18 October 2020,12:25:57,F9 B5B1051.6,"Success
"
96,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Crew_Program"" title=""Commercial Crew Program"">CCP</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-1""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",24 October 2020,15:31:34,F9 B5,"Success
"
97,CCAFS,GPS III,"4,311 kg",MEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> / <a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a> / <a class=""mw-redirect"" href=""/wiki/ESA"" title=""ESA"">ESA</a> / <a class=""mw-redirect"" href=""/wiki/EUMETSAT"" title=""EUMETSAT"">EUMETSAT</a>
</td>","Success
",5 November 2020,23:24:23,F9 B5,"Success
"
98,KSC,Crew-1,"~12,500 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",16 November 2020,00:27,F9 B5,"Success
"
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",21 November 2020,17:17:08,F9 B5,"Success
"
100,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>
</td>","Success
",25 November 2020,02:13,F9 B5 ♺,"Success
"
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<td><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>
</td>","Success
",6 December 2020,16:17:08,F9 B5 ♺,"Success
"
102,CCSFSSLC-40,SXM-7,"7,000 kg",GTO,"<td><a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>
</td>","Success
",13 December 2020,17:30:00,F9 B5 ♺,"Success
"
103,KSC,NROL-108,C,LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",19 December 2020,14:00:00,F9 B5 ♺,"Success
"
104,CCSFS,Türksat 5A,"3,500 kg",GTO,"<td>Various
</td>","Success
",8 January 2021,02:15,F9 B5,"Success
"
105,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",20 January 2021,13:02,F9 B5B1051.8,"Success
"
106,CCSFS,Transporter-1,"~5,000 kg",SSO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",24 January 2021,15:00,F9 B5B1058.5,"Success
"
107,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",4 February 2021,06:19,F9 B5 ♺,"Success
"
108,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",16 February 2021,03:59:37,F9 B5 ♺,"Success
"
109,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",4 March 2021,08:24,F9 B5 ♺,"Success
"
110,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",11 March 2021,08:13:29,F9 B5 ♺,"Success
"
111,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",14 March 2021,10:01,F9 B5 ♺,"Success
"
112,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/ISS_Crew_Transportation_Services"" title=""ISS Crew Transportation Services"">CTS</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-2""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",24 March 2021,08:28,F9 B5B1060.6,"Success
"
113,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",7 April 2021,16:34,F9 B5 ♺,"Success
"
114,KSC,Crew-2,"~13,000 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",23 April 2021,9:49,F9 B5B1061.2,"Success
"
115,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",29 April 2021,03:44,F9 B5B1060.7,"Success
"
116,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/> <a href=""/wiki/Capella_Space"" title=""Capella Space"">Capella Space</a> and <a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak</a>
</td>","Success
",4 May 2021,19:01,F9 B5B1049.9,"Success
"
117,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",9 May 2021,06:42,F9 B5B1051.10,"Success
"
118,KSCLC-39A,Starlink,"~14,000 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",15 May 2021,22:56,F9 B5B1058.8,"Success
"
119,CCSFSSLC-40,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>
</td>","Success
",26 May 2021,18:59,F9 B5B1063.2,"Success
"
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,,,3 June 2021,17:29,F9 B5B1067.1,
121,CCSFS,SXM-8,"7,000 kg",GTO,,,6 June 2021,04:26,F9 B5,
